path,type,status,purpose_short,current_mainline_related,module,inputs,outputs,called_by,calls,safe_to_modify,safe_to_delete,sensitive,evidence_summary,confidence,notes
.gitignore,git config,needs_review,Purpose not confidently identified from content; needs review.,False,root / miscellaneous,,outputs/,,,ask first,ask first,False,Readable text; no strong structural markers in first scan.,medium,NEEDS_REVIEW: purpose not fully confirmed.
artifacts/current_interface/manifest.json,JSON,current,"Structured data, manifest, example, configuration, or report artifact.",True,current interface / VLM handoff,,outputs/; outputs/; outputs/; outputs/; outputs/; outputs/,artifacts/semantic_registry_v2/SHA256SUMS; docs/ACTIVE_REGISTRY_CODE_INVENTORY.md; loreflection/builders/scene_package_builder.py; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/artifacts/current_interface/SHA256SUMS; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/PACKAGE_MANIFEST.json; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/PROGRESS.md; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/README.md; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/SHA256SUMS,,"yes, if you understand the module",no,False,Contains `mask_spec`. | Contains `semantic_repair`.,high,
artifacts/current_interface/mask_spec.schema.json,JSON Schema,current,Current mask_spec schema used only by semantic_repair4 actions.,True,current interface / VLM handoff,,,artifacts/current_interface/manifest.json; artifacts/current_interface/SHA256SUMS; LoState_Design_Document_v1_4_9_DynamicCandidates_RepairPlan.md; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/artifacts/current_interface/manifest.json; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/artifacts/current_interface/SHA256SUMS; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/PACKAGE_MANIFEST.json; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/README.md; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/SHA256SUMS,,"yes, if you understand the module",no,False,Contains `schema_version`. | Contains `mask_spec`.,high,
artifacts/current_interface/planner_input_context.schema.json,JSON Schema,current,Current VLM Planner input context schema.,True,current interface / VLM handoff,,,artifacts/current_interface/manifest.json; artifacts/current_interface/SHA256SUMS; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/artifacts/current_interface/manifest.json; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/artifacts/current_interface/SHA256SUMS; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/PACKAGE_MANIFEST.json; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/README.md; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/SHA256SUMS; README.md,,"yes, if you understand the module",no,False,Contains `schema_version`.,high,
artifacts/current_interface/repairplan.schema.json,JSON Schema,current,Current RepairPlan JSON schema for Planner output.,True,current interface / VLM handoff,,,artifacts/current_interface/manifest.json; artifacts/current_interface/SHA256SUMS; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/artifacts/current_interface/manifest.json; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/artifacts/current_interface/SHA256SUMS; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/PACKAGE_MANIFEST.json; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/README.md; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/SHA256SUMS; README.md,,"yes, if you understand the module",no,False,Contains `schema_version`. | Contains `action_type`. | Contains `execution_mode`. | Contains `mask_spec`. | Contains `semantic_repair`. | Contains `parametric_update`. | Contains `RepairPlan`.,high,
artifacts/current_interface/SHA256SUMS,checksum manifest,current,Purpose not confidently identified from content; needs review.,True,current interface / VLM handoff,,outputs/; outputs/; outputs/; outputs/; outputs/; outputs/,docs/ACTIVE_REGISTRY_CODE_INVENTORY.md; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/artifacts/current_interface/SHA256SUMS; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/SHA256SUMS; reports/active_registry_code_inventory.csv; reports/category_provenance_correction_summary.json; _archive/deprecated_20260622/reports/project_structure_files_depth3.txt,,"yes, if you understand the module",no,False,Contains `mask_spec`.,high,NEEDS_REVIEW: purpose not fully confirmed.
artifacts/semantic_registry_v1/DEPRECATED.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,semantic registry / palette,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
artifacts/semantic_registry_v1/DEPRECATED.md,Markdown,config,Project documentation or runbook.,False,semantic registry / palette,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Deprecated 13-class prototype,high,
artifacts/semantic_registry_v2/architecture_condition_registry.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,semantic registry / palette,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
artifacts/semantic_registry_v2/evaluation_category_groups.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,semantic registry / palette,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
