file_path,module_or_function,purpose,reads_registry,reads_palette,reads_mapping,runtime_role,training_role,comments
artifacts/semantic_registry_v2/SHA256SUMS,,artifact,True,True,True,False,True,active registry artifact
artifacts/semantic_registry_v2/architecture_condition_registry.json,,artifact,True,False,False,False,False,active registry artifact
artifacts/semantic_registry_v2/evaluation_category_groups.json,,artifact,True,False,False,False,False,active registry artifact
artifacts/semantic_registry_v2/freeze_manifest.json,,artifact,True,True,True,False,True,active registry artifact
artifacts/semantic_registry_v2/loreflection_extension_taxonomy.json,,artifact,True,False,False,False,False,active registry artifact
artifacts/semantic_registry_v2/palette_frozen.json,,artifact,True,True,False,False,False,active registry artifact
artifacts/semantic_registry_v2/raw_to_training_mapping.json,,artifact,True,False,True,False,False,active registry artifact
artifacts/semantic_registry_v2/room_specific_to_unified_mapping.json,,artifact,True,False,True,False,False,active registry artifact
artifacts/semantic_registry_v2/semantic_footprint_v1.yaml,,artifact,True,False,False,False,False,active registry artifact
artifacts/semantic_registry_v2/semantic_target_registry.json,,artifact,True,False,True,False,True,active registry artifact
artifacts/semantic_registry_v2/semlayoutdiff_core_taxonomy.json,,artifact,True,False,True,False,False,active registry artifact
artifacts/semantic_registry_v2/training_categories.json,,artifact,True,False,True,False,False,active registry artifact
configs/evaluation_category_groups_v1.yaml,,tool_or_config,False,False,False,True,False,
configs/palette_v2_qwenimage_candidate.json,,tool_or_config,False,True,False,True,False,
configs/semantic_target_registry_v2_candidate.yaml,,tool_or_config,False,False,True,True,False,
diffusion/infer_diffsynth_qwen_inpaint.py,main,training,False,False,False,False,True,
diffusion/infer_instantx_qwen_inpaint.py,main,training,False,False,False,False,True,
diffusion/train_diffsynth_qwen_inpaint_lora.sh,,training,False,False,False,False,True,
loreflection/builders/__init__.py,,tool_or_config,False,False,False,True,False,
loreflection/builders/scene_package_builder.py,read_env;write_json;load_json;hex_to_rgb;write_png;blank_image;draw_rect;draw_line;paste;load_palette;load_category_mapping;normalize_text,tool_or_config,False,False,True,True,True,
loreflection/rendering/__init__.py,,tool_or_config,False,False,False,True,False,
loreflection/semantic_registry.py,LegacySemanticRegistryError;SemanticCategory;SemanticRegistry;load_registry;_read_json;_hash_files;_hex_to_rgb,runtime_loader,True,True,False,True,False,
runtime/acceptance_controller.py,load_json;cost;decide;main,observer,False,False,False,True,False,
runtime/loram.py,load_json;align;main,observer,False,False,False,True,False,
runtime/mask_tensor_adapter.py,load_json;resolve;find_instance;validate_bbox;rasterize_mask_spec;main,observer,False,False,False,True,False,
runtime/observer.py,hex_to_rgb;load_json;connected_components;observe;main,observer,False,False,False,True,False,
runtime/prompt_builder.py,load_json;architecture_constraints;compile_prompt_package;main,observer,False,False,False,True,False,
runtime/run_closed_loop.py,load_json;main,observer,False,False,False,True,False,
runtime/track_a_geometry_review.py,load_json;review_geometry;main,observer,False,False,False,True,False,
runtime/track_b_semantic_review.py,semantic_review_stub;load_json;main,observer,False,False,False,True,False,
tests/test_architecture_target_id_remap.py,test_condition_to_target_remap,test,False,False,False,False,False,
tests/test_no_aabb_in_loreflection_mode.py,test_no_aabb_target_gate,test,False,False,False,False,False,
tests/test_no_legacy_13class_runtime.py,test_no_legacy_13class_runtime_references,test,False,False,False,False,False,
tests/test_palette_category_roundtrip.py,test_palette_atlas_roundtrip_report_exists_and_passes,test,False,True,False,False,False,
tests/test_palette_v2_atlas_roundtrip.py,test_palette_v2_atlas_roundtrip_clean,test,False,True,False,False,False,
tests/test_semlayoutdiff_compatible_pipeline.py,test_pipeline_modes_recorded,test,False,False,False,False,False,
tests/test_semlayoutdiff_taxonomy_exactness.py,test_semlayoutdiff_taxonomy_has_38_classes,test,False,False,False,False,False,
tests/test_single_semantic_registry_source.py,test_single_semantic_registry_source_is_v2;test_legacy_registry_hard_fails,test,True,False,False,False,False,
tests/test_synthetic_instance_roundtrip.py,test_synthetic_isolated_instances_pass,test,False,False,False,False,False,
tests/test_synthetic_topdown_roundtrip.py,test_synthetic_all_categories_v2,test,False,False,False,False,False,
tools/audit_category_action_taxonomy.py,load_json;write_json;audit_mapping;audit_prototype;main,tool_or_config,False,False,True,True,False,
tools/audit_palette_aliases.py,load_json;write_json;severity_for;reason_for;is_sofa_to_chair;is_table_to_desk;unsafe_alias_kind;main,tool_or_config,False,True,True,True,False,
tools/render_palette_category_atlas.py,,tool_or_config,False,True,False,True,False,
tools/validate_observer_roundtrip.py,main,tool_or_config,False,False,False,True,False,
