action,step,loss
REMOVE,1,0.00578596955165267
REMOVE,2,0.005230125971138477
REMOVE,3,0.002889075316488743
REMOVE,4,0.004502636846154928
REMOVE,5,0.00268834107555449
REMOVE,6,0.002348263282328844
REMOVE,7,0.0010104578686878085
REMOVE,8,0.003536408534273505
REMOVE,9,0.002634245902299881
REMOVE,10,0.016406917944550514
REMOVE,11,0.000960581237450242
REMOVE,12,0.004337213933467865
REMOVE,13,0.0006031045340932906
REMOVE,14,0.002981713507324457
REMOVE,15,0.005440049339085817
REMOVE,16,0.0005198923172429204
REMOVE,17,0.0009142279741354287
REMOVE,18,0.004752106964588165
REMOVE,19,0.003398539498448372
REMOVE,20,0.0028753492515534163
REMOVE,21,0.005231103394180536
REMOVE,22,0.004262426868081093
REMOVE,23,0.0028247423470020294
REMOVE,24,0.0012568789534270763
REMOVE,25,0.00570610910654068
REMOVE,26,0.005407033022493124
REMOVE,27,0.0005265619838610291
REMOVE,28,0.004148759879171848
REMOVE,29,0.0027968455106019974
REMOVE,30,0.0007147560827434063
REMOVE,31,0.0010598921217024326
REMOVE,32,0.00044633878860622644
REMOVE,33,0.004068288952112198
REMOVE,34,0.0043161241337656975
REMOVE,35,0.00318100955337286
REMOVE,36,0.0015160288894549012
REMOVE,37,0.001894345274195075
REMOVE,38,0.0006493215914815664
REMOVE,39,0.0013771431986242533
REMOVE,40,0.0006383698782883584
REMOVE,41,0.003718250198289752
REMOVE,42,0.0005649144295603037
REMOVE,43,0.000576782098505646
REMOVE,44,0.0024801515974104404
REMOVE,45,0.0025848615914583206
REMOVE,46,0.000733169203158468
REMOVE,47,0.0010035507148131728
REMOVE,48,0.004259748384356499
REMOVE,49,0.01247530896216631
REMOVE,50,0.0008943624561652541
REMOVE,51,0.0007973835454322398
REMOVE,52,0.001682337373495102
REMOVE,53,0.00121683394536376
REMOVE,54,0.000697191571816802
REMOVE,55,0.0005486345035023987
REMOVE,56,0.003010756568983197
REMOVE,57,0.0015762443654239178
REMOVE,58,0.00625802343711257
REMOVE,59,0.0005911419284529984
REMOVE,60,0.0029260325245559216
REMOVE,61,0.0017358430195599794
REMOVE,62,0.0035375808365643024
REMOVE,63,0.002087608678266406
REMOVE,64,0.005871979519724846
REMOVE,65,0.0008277071174234152
REMOVE,66,0.005335270427167416
REMOVE,67,0.0033634179271757603
REMOVE,68,0.001042479882016778
REMOVE,69,0.0
REMOVE,70,0.0016432645497843623
REMOVE,71,0.005893342662602663
REMOVE,72,0.003215298056602478
REMOVE,73,0.00070252048317343
REMOVE,74,0.0011587986955419183
REMOVE,75,0.003871650667861104
REMOVE,76,0.0022883217316120863
REMOVE,77,0.0023947027511894703
REMOVE,78,0.003496471093967557
REMOVE,79,0.0007485802052542567
REMOVE,80,0.004880805965512991
REMOVE,81,0.0028017181903123856
REMOVE,82,0.0006577208987437189
REMOVE,83,0.0015703019453212619
REMOVE,84,0.0012407030444592237
REMOVE,85,0.0006071156822144985
REMOVE,86,0.0017732753185555339
REMOVE,87,0.0005483306595124304
REMOVE,88,0.0029286122880876064
REMOVE,89,0.002277662744745612
REMOVE,90,0.0005376060726121068
REMOVE,91,0.0006790666957385838
REMOVE,92,0.004773231223225594
REMOVE,93,0.0034004785120487213
REMOVE,94,0.000528554490301758
REMOVE,95,0.002279008273035288
REMOVE,96,0.003034682711586356
REMOVE,97,0.0037426867056638002
REMOVE,98,0.0004938982892781496
REMOVE,99,0.0
REMOVE,100,0.0026649257633835077
