action,step,loss
REPLACE,1,0.004333500284701586
REPLACE,2,0.0057226670905947685
REPLACE,3,0.004090717062354088
REPLACE,4,0.012600354850292206
REPLACE,5,0.000891831994522363
REPLACE,6,0.001839411910623312
REPLACE,7,0.0048901671543717384
REPLACE,8,0.005431841593235731
REPLACE,9,0.0044480180367827415
REPLACE,10,0.005299022421240807
REPLACE,11,0.006303948815912008
REPLACE,12,0.0026777684688568115
REPLACE,13,0.0019910011906176805
REPLACE,14,0.0037729369942098856
REPLACE,15,0.0010446605738252401
REPLACE,16,0.004863254260271788
REPLACE,17,0.004937279038131237
REPLACE,18,0.009707276709377766
REPLACE,19,0.004516905173659325
REPLACE,20,0.00413545873016119
REPLACE,21,0.004952188581228256
REPLACE,22,0.004916899837553501
REPLACE,23,0.0040484159253537655
REPLACE,24,0.004102814476937056
REPLACE,25,0.0017643570899963379
REPLACE,26,0.003003575373440981
REPLACE,27,0.0034413374960422516
REPLACE,28,0.007166252937167883
REPLACE,29,0.003971779718995094
REPLACE,30,0.0037435228005051613
REPLACE,31,0.0027810707688331604
REPLACE,32,0.0027479766868054867
REPLACE,33,0.007043507415801287
REPLACE,34,0.0023915774654597044
REPLACE,35,0.00675266794860363
REPLACE,36,0.0036921019200235605
REPLACE,37,0.003344665514305234
REPLACE,38,0.0025083732325583696
REPLACE,39,0.006170951295644045
REPLACE,40,0.007597874850034714
REPLACE,41,0.004261915571987629
REPLACE,42,0.004109634552150965
REPLACE,43,0.004851859994232655
REPLACE,44,0.007648151367902756
REPLACE,45,0.008230747655034065
REPLACE,46,0.0036675743758678436
REPLACE,47,0.000971498666331172
REPLACE,48,0.0022866162471473217
REPLACE,49,0.005419828929007053
REPLACE,50,0.0024445303715765476
REPLACE,51,0.0034737959504127502
REPLACE,52,0.0021171574480831623
REPLACE,53,0.004390026908367872
REPLACE,54,0.0035193837247788906
REPLACE,55,0.006260767113417387
REPLACE,56,0.006277385167777538
REPLACE,57,0.0026180576533079147
REPLACE,58,0.003441243665292859
REPLACE,59,0.0020521620754152536
REPLACE,60,0.0037193577736616135
REPLACE,61,0.0023053486365824938
REPLACE,62,0.0029943049885332584
REPLACE,63,0.0028335633687675
REPLACE,64,0.0007108965655788779
REPLACE,65,0.0055062128230929375
REPLACE,66,0.0043177674524486065
REPLACE,67,0.0010051567805930972
REPLACE,68,0.002022285247221589
REPLACE,69,0.002766955876722932
REPLACE,70,0.002269362099468708
REPLACE,71,0.02275790274143219
REPLACE,72,0.0037397712003439665
REPLACE,73,0.0012435016687959433
REPLACE,74,0.0029066954739391804
REPLACE,75,0.004011653363704681
REPLACE,76,0.003159433603286743
REPLACE,77,0.000754069013055414
REPLACE,78,0.0032536357175558805
REPLACE,79,0.004438346717506647
REPLACE,80,0.004156496841460466
REPLACE,81,0.0053014676086604595
REPLACE,82,0.0007784740882925689
REPLACE,83,0.003643529023975134
REPLACE,84,0.003424850758165121
REPLACE,85,0.0033016433008015156
REPLACE,86,0.004050091374665499
REPLACE,87,0.0025810773950070143
REPLACE,88,0.005253294482827187
REPLACE,89,0.0036943373270332813
REPLACE,90,0.002304034074768424
REPLACE,91,0.0034156462643295527
REPLACE,92,0.0030510055366903543
REPLACE,93,0.003603962017223239
REPLACE,94,0.0024458649568259716
REPLACE,95,0.0027189867105334997
REPLACE,96,0.0016895958688110113
REPLACE,97,0.0031134416349232197
REPLACE,98,0.002391809830442071
REPLACE,99,0.004827599972486496
REPLACE,100,0.0022100284695625305
REPLACE,101,0.004053068812936544
REPLACE,102,0.0032037263736128807
