action,step,loss
TRANSLATE,1,0.004136721603572369
TRANSLATE,2,0.00605992553755641
TRANSLATE,3,0.005842748563736677
TRANSLATE,4,0.004307334311306477
TRANSLATE,5,0.004034638404846191
TRANSLATE,6,0.00706983357667923
TRANSLATE,7,0.0033673762809485197
TRANSLATE,8,0.0029871705919504166
TRANSLATE,9,0.0038075128104537725
TRANSLATE,10,0.005194814410060644
TRANSLATE,11,0.009255421347916126
TRANSLATE,12,0.00393343809992075
TRANSLATE,13,0.005005945451557636
TRANSLATE,14,0.003069983795285225
TRANSLATE,15,0.003074321895837784
TRANSLATE,16,0.004592371638864279
TRANSLATE,17,0.002864511450752616
TRANSLATE,18,0.004995232447981834
TRANSLATE,19,0.004360878840088844
TRANSLATE,20,0.0016212576301768422
TRANSLATE,21,0.0063293990679085255
TRANSLATE,22,0.004279044456779957
TRANSLATE,23,0.002890329109504819
TRANSLATE,24,0.005167726427316666
TRANSLATE,25,0.005747381132096052
TRANSLATE,26,0.0037481551989912987
TRANSLATE,27,0.0037894074339419603
TRANSLATE,28,0.009978133253753185
TRANSLATE,29,0.005405460484325886
TRANSLATE,30,0.0018582893535494804
TRANSLATE,31,0.0018616544548422098
TRANSLATE,32,0.0009378110407851636
TRANSLATE,33,0.003847508691251278
TRANSLATE,34,0.004803449846804142
TRANSLATE,35,0.0
TRANSLATE,36,0.004713392350822687
TRANSLATE,37,0.0
TRANSLATE,38,0.003618237329646945
TRANSLATE,39,0.003209650982171297
TRANSLATE,40,0.0043317098170518875
TRANSLATE,41,0.012992344796657562
TRANSLATE,42,0.007070086896419525
TRANSLATE,43,0.0030913264490664005
TRANSLATE,44,0.0011628338834270835
TRANSLATE,45,0.003813049988821149
TRANSLATE,46,0.0020849506836384535
TRANSLATE,47,0.0030831799376755953
TRANSLATE,48,0.004199589136987925
TRANSLATE,49,0.003020157106220722
TRANSLATE,50,0.0028777201659977436
TRANSLATE,51,0.004319590050727129
TRANSLATE,52,0.005440169479697943
TRANSLATE,53,0.0023077104706317186
TRANSLATE,54,0.0007673643412999809
TRANSLATE,55,0.001088030869141221
TRANSLATE,56,0.002683997619897127
TRANSLATE,57,0.005239937920123339
TRANSLATE,58,0.0031514533329755068
TRANSLATE,59,0.0033119646832346916
TRANSLATE,60,0.001025748671963811
TRANSLATE,61,0.0035978308878839016
TRANSLATE,62,0.002797155873849988
TRANSLATE,63,0.004797047469764948
TRANSLATE,64,0.004694431088864803
TRANSLATE,65,0.009580188430845737
TRANSLATE,66,0.0037134257145226
TRANSLATE,67,0.003174501471221447
TRANSLATE,68,0.0005985073512420058
TRANSLATE,69,0.003219675738364458
TRANSLATE,70,0.0030675092712044716
TRANSLATE,71,0.0033667394891381264
TRANSLATE,72,0.0019933702424168587
TRANSLATE,73,0.003582892706617713
TRANSLATE,74,0.003549901070073247
TRANSLATE,75,0.0067310817539691925
TRANSLATE,76,0.0016199590172618628
TRANSLATE,77,0.0008989113848656416
TRANSLATE,78,0.004721018485724926
TRANSLATE,79,0.006521899718791246
TRANSLATE,80,0.002573758363723755
TRANSLATE,81,0.0038570913020521402
TRANSLATE,82,0.006325819529592991
TRANSLATE,83,0.0010647006565704942
TRANSLATE,84,0.0034586589317768812
TRANSLATE,85,0.0025659373495727777
TRANSLATE,86,0.002514325547963381
TRANSLATE,87,0.003685543779283762
TRANSLATE,88,0.0025919198524206877
TRANSLATE,89,0.0030428715981543064
TRANSLATE,90,0.0040470026433467865
TRANSLATE,91,0.006135862320661545
TRANSLATE,92,0.00332010630518198
TRANSLATE,93,0.002477470552548766
TRANSLATE,94,0.002150424290448427
TRANSLATE,95,0.0030650084372609854
TRANSLATE,96,0.003694615326821804
TRANSLATE,97,0.004080386832356453
TRANSLATE,98,0.0016953898593783379
TRANSLATE,99,0.002228164579719305
TRANSLATE,100,0.002713370369747281
