action,sample_id,sample_dir,raw_exists,snapped_exists,copyback_exists,raw_palette_validity,raw_nearest_distance_mean,raw_vs_target_mask_acc,snapped_vs_target_mask_acc,copyback_vs_target_mask_acc,copyback_nonmask_eq_bad,masked_pixel_accuracy,allowed_label_violation_count,object_count_f1,action_specific_iou,edit_success,extra_component_count,diagnosis
REMOVE,remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0,/wuqingyaoa800/qiuziyan/LoReflection/outputs/manual_review/c13_overfit_REMOVE/c14_1_autogpu_REMOVE_step300_eval/remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0,True,True,True,0.0,19.32675322797933,0.3493600830162574,0.0,0.0,1.0,0.0,2891,1.0,0.0,False,0,RAW_OR_SNAPPED_OUTPUT_WRONG
REMOVE,remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8,/wuqingyaoa800/qiuziyan/LoReflection/outputs/manual_review/c13_overfit_REMOVE/c14_1_autogpu_REMOVE_step300_eval/remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8,True,True,True,0.0,19.367713378199504,0.3543859649122807,0.0,0.0,1.0,0.0,1995,1.0,0.0,False,0,RAW_OR_SNAPPED_OUTPUT_WRONG
REMOVE,remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18,/wuqingyaoa800/qiuziyan/LoReflection/outputs/manual_review/c13_overfit_REMOVE/c14_1_autogpu_REMOVE_step300_eval/remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18,True,True,True,0.0,19.647069000493882,0.6814081408140814,0.0,0.0,1.0,0.0,18180,1.0,0.0,False,0,RAW_OR_SNAPPED_OUTPUT_WRONG
REMOVE,remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4,/wuqingyaoa800/qiuziyan/LoReflection/outputs/manual_review/c13_overfit_REMOVE/c14_1_autogpu_REMOVE_step300_eval/remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4,False,False,False,,,,,,,,,,,,,MISSING_EXISTING_EVAL_OUTPUT
REMOVE,remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8,/wuqingyaoa800/qiuziyan/LoReflection/outputs/manual_review/c13_overfit_REMOVE/c14_1_autogpu_REMOVE_step300_eval/remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8,False,False,False,,,,,,,,,,,,,MISSING_EXISTING_EVAL_OUTPUT
REPLACE,replace_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2-opposite,/wuqingyaoa800/qiuziyan/LoReflection/outputs/manual_review/c13_overfit_REPLACE/c14_1_autogpu_REPLACE_step300_eval/replace_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2-opposite,True,True,True,0.0,19.356212869136666,0.11081638667845564,0.0,0.0,1.0,0.0,3391,0.5714285714285714,1.0,False,2,RAW_OR_SNAPPED_OUTPUT_WRONG
REPLACE,replace_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2,/wuqingyaoa800/qiuziyan/LoReflection/outputs/manual_review/c13_overfit_REPLACE/c14_1_autogpu_REPLACE_step300_eval/replace_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2,True,True,True,0.0,19.48266146257892,0.09961685823754789,0.0,0.0,1.0,0.0,3393,0.6666666666666666,1.0,False,1,RAW_OR_SNAPPED_OUTPUT_WRONG
REPLACE,replace_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10-opposite,/wuqingyaoa800/qiuziyan/LoReflection/outputs/manual_review/c13_overfit_REPLACE/c14_1_autogpu_REPLACE_step300_eval/replace_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10-opposite,True,True,True,0.0,19.44288438189772,0.11976343026121242,0.0,0.0,1.0,0.0,2001,0.6666666666666666,1.0,False,3,RAW_OR_SNAPPED_OUTPUT_WRONG
REPLACE,replace_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10,/wuqingyaoa800/qiuziyan/LoReflection/outputs/manual_review/c13_overfit_REPLACE/c14_1_autogpu_REPLACE_step300_eval/replace_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10,False,False,False,,,,,,,,,,,,,MISSING_EXISTING_EVAL_OUTPUT
REPLACE,replace_005_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20-opposite,/wuqingyaoa800/qiuziyan/LoReflection/outputs/manual_review/c13_overfit_REPLACE/c14_1_autogpu_REPLACE_step300_eval/replace_005_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20-opposite,False,False,False,,,,,,,,,,,,,MISSING_EXISTING_EVAL_OUTPUT
TRANSLATE,translate_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-0_6-opposite,/wuqingyaoa800/qiuziyan/LoReflection/outputs/manual_review/c13_overfit_TRANSLATE/c14_1_autogpu_TRANSLATE_step300_eval/translate_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-0_6-opposite,True,True,True,0.0,19.393857946049433,0.09270982234020829,0.0,0.0,1.0,0.0,4897,0.5,1.0,False,3,RAW_OR_SNAPPED_OUTPUT_WRONG
