action,sample_id,target_category,source_category,mask_area_bin,mask_area_px,edit_success,masked_pixel_accuracy,object_count_f1,allowed_label_violation_count
REMOVE,remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0,dressing_table,dressing_table,medium,2891,False,0.0,1.0,2891
REMOVE,remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8,stool,stool,small,1995,False,0.0,1.0,1995
REMOVE,remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18,double_bed,double_bed,large,18180,False,0.0,1.0,18180
REMOVE,remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4,double_bed,double_bed,large,21420,,,,
REMOVE,remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8,wardrobe,wardrobe,medium,7007,,,,
REMOVE,remove_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-3_0,nightstand,nightstand,small,2021,,,,
REMOVE,remove_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-4_14,nightstand,nightstand,medium,2068,,,,
REMOVE,remove_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-5_18,tv_stand,tv_stand,medium,4000,,,,
REMOVE,remove_009_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-0_18,double_bed,double_bed,large,28600,,,,
REMOVE,remove_010_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-1_0,nightstand,nightstand,medium,2058,,,,
REMOVE,remove_011_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-2_4,nightstand,nightstand,medium,2058,,,,
REMOVE,remove_012_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-3_8,pendant_lamp,pendant_lamp,medium,4260,,,,
REMOVE,remove_013_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_remove-1_4,armchair,armchair,medium,4485,,,,
REMOVE,remove_014_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_remove-2_0,nightstand,nightstand,small,2016,,,,
REMOVE,remove_015_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_remove-3_10,table,table,medium,2208,,,,
REMOVE,remove_016_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_remove-4_16,wardrobe,wardrobe,medium,6435,,,,
REMOVE,remove_017_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_remove-0_18,double_bed,double_bed,large,19154,,,,
REMOVE,remove_018_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_remove-1_0,children_cabinet,children_cabinet,medium,5635,,,,
REMOVE,remove_019_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_remove-5_8,nightstand,nightstand,small,1968,,,,
REMOVE,remove_020_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_remove-6_14,nightstand,nightstand,small,1968,,,,
REPLACE,replace_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2-opposite,dressing_table,dressing_table,medium,3393,False,0.0,0.5714285714285714,3391
REPLACE,replace_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2,dressing_table,dressing_table,medium,3393,False,0.0,0.6666666666666666,3393
REPLACE,replace_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10-opposite,stool,stool,small,2029,False,0.0,0.6666666666666666,2001
REPLACE,replace_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10,stool,stool,small,2029,,,,
