sample_id,action,path,original_id,room_type,source_category,target_category,source_semantic_id,target_semantic_id,mask_area_px,changed_pixels_inside_mask,changed_ratio_inside_mask,category_mapping_status,sample_dir
015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0.pkl,015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0,masterbedroom,,dressing_table,,11,2891,1419,0.4908336215842269,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0
015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8.pkl,015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8,masterbedroom,,stool,,14,1995,777,0.3894736842105263,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8
015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18.pkl,015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18,masterbedroom,,double_bed,,4,18180,12240,0.6732673267326733,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18
04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-0_4,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-0_4.pkl,04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4,masterbedroom,,double_bed,,4,21420,16940,0.7908496732026143,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-0_4
04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-2_8,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-2_8.pkl,04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8,masterbedroom,,wardrobe,,33,7007,1452,0.20722135007849293,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-2_8
04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-3_0,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-3_0.pkl,04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-3_0,masterbedroom,,nightstand,,27,2021,837,0.4141514101929738,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-3_0
04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-4_14,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-4_14.pkl,04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-4_14,masterbedroom,,nightstand,,27,2068,868,0.4197292069632495,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-4_14
04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-5_18,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-5_18.pkl,04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-5_18,masterbedroom,,tv_stand,,9,4000,2016,0.504,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-5_18
04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-0_18,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-0_18.pkl,04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-0_18,secondbedroom,,double_bed,,4,28600,20948,0.7324475524475524,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_009_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-0_18
04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-1_0,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-1_0.pkl,04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-1_0,secondbedroom,,nightstand,,27,2058,858,0.41690962099125367,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_010_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-1_0
04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-2_4,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-2_4.pkl,04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-2_4,secondbedroom,,nightstand,,27,2058,858,0.41690962099125367,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_011_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-2_4
04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-3_8,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-3_8.pkl,04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-3_8,secondbedroom,,pendant_lamp,,34,4260,2420,0.568075117370892,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_012_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-3_8
0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-1_4,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-1_4.pkl,0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_remove-1_4,secondbedroom,,armchair,,18,4485,2149,0.4791527313266444,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_013_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-1_4
0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-2_0,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-2_0.pkl,0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_remove-2_0,secondbedroom,,nightstand,,27,2016,832,0.4126984126984127,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_014_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-2_0
0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-3_10,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-3_10.pkl,0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_remove-3_10,secondbedroom,,table,,12,2208,960,0.43478260869565216,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_015_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-3_10
0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-4_16,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-4_16.pkl,0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_remove-4_16,secondbedroom,,wardrobe,,33,6435,3683,0.5723387723387723,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_016_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-4_16
0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-0_18,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-0_18.pkl,0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_remove-0_18,secondbedroom,,double_bed,,4,19154,14210,0.7418815913125196,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_017_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-0_18
0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-1_0,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-1_0.pkl,0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_remove-1_0,secondbedroom,,children_cabinet,,30,5635,3267,0.5797692990239575,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_018_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-1_0
0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-5_8,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-5_8.pkl,0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_remove-5_8,secondbedroom,,nightstand,,27,1968,800,0.4065040650406504,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_019_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-5_8
0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-6_14,ADD,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-6_14.pkl,0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_remove-6_14,secondbedroom,,nightstand,,27,1968,800,0.4065040650406504,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_020_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-6_14
015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0,REMOVE,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0.pkl,015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296,masterbedroom,dressing_table,,11,,2891,1419,0.4908336215842269,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0
015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8,REMOVE,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8.pkl,015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296,masterbedroom,stool,,14,,1995,777,0.3894736842105263,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8
015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18,REMOVE,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18.pkl,015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296,masterbedroom,double_bed,,4,,18180,12240,0.6732673267326733,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18
04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4,REMOVE,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4.pkl,04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404,masterbedroom,double_bed,,4,,21420,16940,0.7908496732026143,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4
04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8,REMOVE,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8.pkl,04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404,masterbedroom,wardrobe,,33,,7007,1452,0.20722135007849293,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8
04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-3_0,REMOVE,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-3_0.pkl,04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404,masterbedroom,nightstand,,27,,2021,837,0.4141514101929738,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-3_0
04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-4_14,REMOVE,/wuqingyaoa800/chengjiajia_datas/EditRoom/datasets/editroom_dataset/threed_front_bedroom/test_dataset/04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-4_14.pkl,04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404,masterbedroom,nightstand,,27,,2068,868,0.4197292069632495,PASS,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-4_14
