path,line,pattern,classification,text
docs/OFFICIAL_SEMLAYOUTDIFF_SOURCE_VERIFICATION.md,17,parse_json_floorplan,false_positive,The uploaded `parse_json_floorplan.py` is not official SemLayoutDiff source. It belongs to another related project and can only be used as an external parser policy reference.
docs/PALETTE_ALIAS_AND_3DFRONT_PARSER_AUDIT.md,45,parse_json_floorplan,false_positive,"The user-provided `parse_json_floorplan.py` belongs to an unrelated Chinese PlanJSON project. It is not authoritative for LoReflection's current 3D-FRONT / 3D-FUTURE / SemLayoutDiff taxonomy, palette, mapping, registry, or training provenance."
docs/PALETTE_ALIAS_AND_3DFRONT_PARSER_AUDIT.md,45,PlanJSON,false_positive,"The user-provided `parse_json_floorplan.py` belongs to an unrelated Chinese PlanJSON project. It is not authoritative for LoReflection's current 3D-FRONT / 3D-FUTURE / SemLayoutDiff taxonomy, palette, mapping, registry, or training provenance."
docs/PALETTE_ALIAS_AND_3DFRONT_PARSER_AUDIT.md,47,PlanJSON,historical_note,"The active taxonomy must be derived strictly from the SemLayoutDiff official source checkout and metadata. Any category names that happen to overlap with the Chinese PlanJSON script are coincidence, not evidence."
docs/SEMLAYOUTDIFF_OFFICIAL_TAXONOMY_FROM_SOURCE.md,6,parse_json_floorplan,false_positive,- forbidden evidence: parse_json_floorplan.py / Chinese PlanJSON compact taxonomy / 13-class prototype
docs/SEMLAYOUTDIFF_OFFICIAL_TAXONOMY_FROM_SOURCE.md,6,PlanJSON,false_positive,- forbidden evidence: parse_json_floorplan.py / Chinese PlanJSON compact taxonomy / 13-class prototype
docs/SEMLAYOUTDIFF_OFFICIAL_TAXONOMY_FROM_SOURCE.md,6,13-class prototype,false_positive,- forbidden evidence: parse_json_floorplan.py / Chinese PlanJSON compact taxonomy / 13-class prototype
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,36,PlanJSON,historical_note,- file: `configs/apm/chinese_attr_only_planjson.yaml`
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,42,PlanJSON,historical_note,- file: `datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_0228_0317_0327_v1/test/1038297_48725/Updated_Bottom_inst_anno.json`
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,46,PlanJSON,historical_note,- file: `datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_0228_0317_0327_v1/test/1038297_49556/Updated_Bottom_inst_anno.json`
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,50,PlanJSON,historical_note,- file: `datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_0228_0317_0327_v1/test/1038297_50429/Updated_Bottom_inst_anno.json`
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,60,PlanJSON,historical_note,- file: `configs/apm/chinese_attr_only_planjson.yaml`
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,64,PlanJSON,historical_note,- file: `checkpoints/apm_attr_only_planjson_stage1_roty_0228_0317_0327_v1/csv_logs/version_3/metrics.csv`
