path,line,wrong_statement_or_reference,action
docs/OFFICIAL_SEMLAYOUTDIFF_SOURCE_VERIFICATION.md,17,The uploaded `parse_json_floorplan.py` is not official SemLayoutDiff source. It belongs to another related project and can only be used as an external parser policy reference.,classified_not_authoritative_or_generated_history
docs/PALETTE_ALIAS_AND_3DFRONT_PARSER_AUDIT.md,45,"The user-provided `parse_json_floorplan.py` belongs to an unrelated Chinese PlanJSON project. It is not authoritative for LoReflection's current 3D-FRONT / 3D-FUTURE / SemLayoutDiff taxonomy, palette, mapping, registry, or training provenance.",classified_not_authoritative_or_generated_history
docs/PALETTE_ALIAS_AND_3DFRONT_PARSER_AUDIT.md,45,"The user-provided `parse_json_floorplan.py` belongs to an unrelated Chinese PlanJSON project. It is not authoritative for LoReflection's current 3D-FRONT / 3D-FUTURE / SemLayoutDiff taxonomy, palette, mapping, registry, or training provenance.",classified_not_authoritative_or_generated_history
docs/PALETTE_ALIAS_AND_3DFRONT_PARSER_AUDIT.md,47,"The active taxonomy must be derived strictly from the SemLayoutDiff official source checkout and metadata. Any category names that happen to overlap with the Chinese PlanJSON script are coincidence, not evidence.",classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_OFFICIAL_TAXONOMY_FROM_SOURCE.md,6,- forbidden evidence: parse_json_floorplan.py / Chinese PlanJSON compact taxonomy / 13-class prototype,classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_OFFICIAL_TAXONOMY_FROM_SOURCE.md,6,- forbidden evidence: parse_json_floorplan.py / Chinese PlanJSON compact taxonomy / 13-class prototype,classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_OFFICIAL_TAXONOMY_FROM_SOURCE.md,6,- forbidden evidence: parse_json_floorplan.py / Chinese PlanJSON compact taxonomy / 13-class prototype,classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,36,- file: `configs/apm/chinese_attr_only_planjson.yaml`,classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,42,- file: `datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_0228_0317_0327_v1/test/1038297_48725/Updated_Bottom_inst_anno.json`,classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,46,- file: `datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_0228_0317_0327_v1/test/1038297_49556/Updated_Bottom_inst_anno.json`,classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,50,- file: `datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_0228_0317_0327_v1/test/1038297_50429/Updated_Bottom_inst_anno.json`,classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,60,- file: `configs/apm/chinese_attr_only_planjson.yaml`,classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,64,- file: `checkpoints/apm_attr_only_planjson_stage1_roty_0228_0317_0327_v1/csv_logs/version_3/metrics.csv`,classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,66,- file: `checkpoints/apm_attr_only_planjson_stage1_roty_orient0327_v2/csv_logs/version_0/metrics.csv`,classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,68,- file: `checkpoints/apm_attr_only_planjson_stage1_roty_orient0327_v2/csv_logs/version_1/metrics.csv`,classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,85,- file: `configs/apm/chinese_attr_only_planjson.yaml`,classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,95,- file: `configs/apm/chinese_attr_only_planjson.yaml`,classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,132,- file: `configs/apm/chinese_attr_only_planjson_apm_stage1_roty_0228_0317_0327_v1.yaml`,classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,135,- file: `configs/apm/chinese_attr_only_planjson_apm_stage1_roty_orient0327_v1.yaml`,classified_not_authoritative_or_generated_history
docs/SEMLAYOUTDIFF_VISUALIZATION_PIPELINE_DEEP_AUDIT.md,140,The user-uploaded `parse_json_floorplan.py` is not treated as SemLayoutDiff official source evidence.,classified_not_authoritative_or_generated_history
tools/inspect_semlayoutdiff_3dfront_parser.py,301,"""Chinese PlanJSON parse_json_floorplan.py is unrelated and excluded from LoReflection taxonomy evidence."",",classified_not_authoritative_or_generated_history
tools/inspect_semlayoutdiff_3dfront_parser.py,301,"""Chinese PlanJSON parse_json_floorplan.py is unrelated and excluded from LoReflection taxonomy evidence."",",classified_not_authoritative_or_generated_history
tools/inspect_semlayoutdiff_3dfront_parser.py,305,"""Do not use external PlanJSON field parsing or Chinese keyword blacklist as LoReflection 3D-FRONT taxonomy evidence."",",classified_not_authoritative_or_generated_history
tools/verify_official_semlayoutdiff_source_policy.py,6,"the unrelated PlanJSON floorplan parser as a non-official external reference,",classified_not_authoritative_or_generated_history
tools/verify_official_semlayoutdiff_source_policy.py,352,"""The uploaded parse_json_floorplan.py is excluded from official SemLayoutDiff evidence for this judgement."",",classified_not_authoritative_or_generated_history
tools/trace_semlayoutdiff_visualization_pipeline.py,450,"""The user-uploaded `parse_json_floorplan.py` is not treated as SemLayoutDiff official source evidence."",",classified_not_authoritative_or_generated_history
tools/trace_semlayoutdiff_visualization_pipeline.py,581,"""important_boundary"": ""User-uploaded parse_json_floorplan.py is external policy reference only, not SemLayoutDiff official evidence."",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,680,"""file"": ""scripts/analyze_planjson_category_sizes.py"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,741,"""text"": ""pipeline: are some semantic classes in parse_json_floorplan.py too broad for""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,748,"""text"": ""parse_json_floorplan category rules, and writes:""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,776,"""text"": ""default=str((REPO_ROOT / \""analysis\"" / \""planjson_category_audit\"").resolve()),""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,884,"""text"": ""OUTPUT_DIR=\""${OUTPUT_DIR:-datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_0228_0317_0327_v1}\""""",classified_not_authoritative_or_generated_history
