a,b,a_rgb,b_rgb,rgb_distance,ciede2000_proxy
void,floor,"[255, 255, 255]","[222, 222, 222]",57.15767664977295,11.530316104466717
table,wardrobe,"[96, 64, 176]","[176, 96, 224]",98.63062404750362,22.92849569755347
loveseat_sofa,wardrobe,"[160, 32, 208]","[176, 96, 224]",67.88225099390856,24.61624006284823
lounge_chair,children_cabinet,"[80, 224, 112]","[48, 160, 32]",107.33126291998991,24.880526969367473
desk,children_cabinet,"[128, 176, 80]","[48, 160, 32]",94.65727652959386,25.392030827969066
tv_stand,wine_cabinet,"[32, 112, 112]","[96, 112, 80]",71.55417527999327,25.39589793699036
sofa,pendant_lamp,"[32, 144, 192]","[80, 96, 128]",93.29523031752481,25.837659494794224
console_table,cabinet,"[112, 144, 224]","[32, 80, 160]",120.797350964332,25.898769260683277
armchair,pendant_lamp,"[160, 128, 144]","[80, 96, 128]",87.63560920082658,26.093106765469532
round_end_table,ceiling_lamp,"[32, 224, 176]","[32, 160, 96]",102.44998779892558,26.204255658626703
desk,ceiling_lamp,"[128, 176, 80]","[32, 160, 96]",98.63062404750362,26.62073688564865
console_table,sofa,"[112, 144, 224]","[32, 144, 192]",86.16263691415206,26.626962802222
corner_side_table,wardrobe,"[224, 64, 192]","[176, 96, 224]",65.96969000988257,27.298988759291657
dressing_chair,ceiling_lamp,"[32, 96, 32]","[32, 160, 96]",90.50966799187809,27.39607237966203
table,cabinet,"[96, 64, 176]","[32, 80, 160]",67.88225099390856,27.67614354639571
dressing_table,nightstand,"[192, 80, 112]","[224, 32, 128]",59.86651818838306,27.70546993445087
coffee_table,bookshelf,"[112, 80, 32]","[144, 128, 32]",57.688820407423826,27.814045100089913
coffee_table,wine_cabinet,"[112, 80, 32]","[96, 112, 80]",59.86651818838306,27.830173032798683
dressing_chair,wine_cabinet,"[32, 96, 32]","[96, 112, 80]",81.58431221748455,27.836739302752328
dining_chair,lazy_sofa,"[80, 208, 224]","[144, 208, 176]",80.0,27.940381428697492
round_end_table,lazy_sofa,"[32, 224, 176]","[144, 208, 176]",113.13708498984761,28.287873688318903
tv_stand,pendant_lamp,"[32, 112, 112]","[80, 96, 128]",53.0659966456864,28.76924254992164
dressing_table,multi_seat_sofa,"[192, 80, 112]","[144, 32, 112]",67.88225099390856,28.841709940323522
children_cabinet,ceiling_lamp,"[48, 160, 32]","[32, 160, 96]",65.96969000988257,29.479173900180765
corner_side_table,nightstand,"[224, 64, 192]","[224, 32, 128]",71.55417527999327,30.124173024448897
dressing_table,chaise_longue_sofa,"[192, 80, 112]","[144, 32, 32]",104.919016388832,30.27161627637638
dining_table,bookshelf,"[224, 192, 128]","[144, 128, 32]",140.39943019827396,30.278995891755827
armchair,shelf,"[160, 128, 144]","[224, 144, 128]",67.88225099390856,30.313362118291682
floor,lazy_sofa,"[222, 222, 222]","[144, 208, 176]",91.62968951164245,30.351503046250382
multi_seat_sofa,nightstand,"[144, 32, 112]","[224, 32, 128]",81.58431221748455,30.491673888752256
chinese_chair,wardrobe,"[224, 144, 224]","[176, 96, 224]",67.88225099390856,30.868392288147284
cabinet,pendant_lamp,"[32, 80, 160]","[80, 96, 128]",59.86651818838306,30.901922963709886
dining_chair,sofa,"[80, 208, 224]","[32, 144, 192]",86.16263691415206,31.028574653080153
coffee_table,l_shaped_sofa,"[112, 80, 32]","[80, 32, 32]",57.688820407423826,31.117810257727093
dressing_table,shelf,"[192, 80, 112]","[224, 144, 128]",73.32121111929344,31.118071669288287
tv_stand,sofa,"[32, 112, 112]","[32, 144, 192]",86.16263691415206,31.21983583917495
kids_bed,lounge_chair,"[32, 224, 32]","[80, 224, 112]",93.29523031752481,31.414020375423735
single_bed,cabinet,"[64, 32, 80]","[32, 80, 160]",98.63062404750362,31.53880355315396
desk,bookshelf,"[128, 176, 80]","[144, 128, 32]",69.74238309665078,31.56101253506909
single_bed,pendant_lamp,"[64, 32, 80]","[80, 96, 128]",81.58431221748455,31.591623624650087
lounge_chair,ceiling_lamp,"[80, 224, 112]","[32, 160, 96]",81.58431221748455,31.729793031504524
loveseat_sofa,door,"[160, 32, 208]","[18, 38, 220]",142.63239463740345,31.743283383072267
desk,lounge_chair,"[128, 176, 80]","[80, 224, 112]",75.04665215717488,31.982909837766673
dining_table,shelf,"[224, 192, 128]","[224, 144, 128]",48.0,31.99081807888664
chaise_longue_sofa,l_shaped_sofa,"[144, 32, 32]","[80, 32, 32]",64.0,32.225872147757904
corner_side_table,loveseat_sofa,"[224, 64, 192]","[160, 32, 208]",73.32121111929344,32.38794325774937
single_bed,multi_seat_sofa,"[64, 32, 80]","[144, 32, 112]",86.16263691415206,32.44967973056644
corner_side_table,multi_seat_sofa,"[224, 64, 192]","[144, 32, 112]",117.57550765359255,32.467872481890126
console_table,pendant_lamp,"[112, 144, 224]","[80, 96, 128]",112.0,32.55351912505461
lazy_sofa,ceiling_lamp,"[144, 208, 176]","[32, 160, 96]",145.7669372663088,32.8748536629246
round_end_table,lounge_chair,"[32, 224, 176]","[80, 224, 112]",80.0,32.984254666298014
chaise_longue_sofa,window,"[144, 32, 32]","[220, 34, 34]",76.05261336732617,33.05221009127755
table,loveseat_sofa,"[96, 64, 176]","[160, 32, 208]",78.38367176906169,33.46202041829178
desk,dressing_chair,"[128, 176, 80]","[32, 96, 32]",133.8656042454521,34.058333981227996
single_bed,l_shaped_sofa,"[64, 32, 80]","[80, 32, 32]",50.59644256269407,34.53053977877496
corner_side_table,chinese_chair,"[224, 64, 192]","[224, 144, 224]",86.16263691415206,34.55982151316184
dressing_table,armchair,"[192, 80, 112]","[160, 128, 144]",65.96969000988257,34.786681883247965
double_bed,bookshelf,"[224, 192, 32]","[144, 128, 32]",102.44998779892558,34.815463981839024
kids_bed,children_cabinet,"[32, 224, 32]","[48, 160, 32]",65.96969000988257,34.925916020935944
floor,armchair,"[222, 222, 222]","[160, 128, 144]",136.98175060934213,35.088904690849375
armchair,wine_cabinet,"[160, 128, 144]","[96, 112, 80]",91.91300234460846,35.7721459649813
void,lazy_sofa,"[255, 255, 255]","[144, 208, 176]",144.12147653975794,35.81368779753965
double_bed,chair,"[224, 192, 32]","[176, 224, 32]",57.688820407423826,36.03064428912232
desk,lazy_sofa,"[128, 176, 80]","[144, 208, 176]",102.44998779892558,36.48379652749404
bookshelf,wine_cabinet,"[144, 128, 32]","[96, 112, 80]",69.74238309665078,36.62107560907817
console_table,chinese_chair,"[112, 144, 224]","[224, 144, 224]",112.0,36.85626272475831
floor,dining_chair,"[222, 222, 222]","[80, 208, 224]",142.70248771482576,36.88087209256088
tv_stand,dining_chair,"[32, 112, 112]","[80, 208, 224]",155.12575543732254,36.99335970176891
lazy_sofa,wine_cabinet,"[144, 208, 176]","[96, 112, 80]",144.0,37.08715622678246
stool,window,"[208, 112, 32]","[220, 34, 34]",78.9430174239622,37.28515667896336
sofa,cabinet,"[32, 144, 192]","[32, 80, 160]",71.55417527999327,37.29605897335117
stool,shelf,"[208, 112, 32]","[224, 144, 128]",102.44998779892558,37.489827133801754
floor,dining_table,"[222, 222, 222]","[224, 192, 128]",98.69143833180262,37.72422380402321
dressing_chair,children_cabinet,"[32, 96, 32]","[48, 160, 32]",65.96969000988257,37.790543620558125
kids_bed,chair,"[32, 224, 32]","[176, 224, 32]",144.0,37.913468848226984
stool,bookshelf,"[208, 112, 32]","[144, 128, 32]",65.96969000988257,37.96301139049649
desk,dining_table,"[128, 176, 80]","[224, 192, 128]",108.51727973000429,38.02312704101127
table,multi_seat_sofa,"[96, 64, 176]","[144, 32, 112]",86.16263691415206,38.190593870782834
coffee_table,chaise_longue_sofa,"[112, 80, 32]","[144, 32, 32]",57.688820407423826,38.34131820183248
desk,chair,"[128, 176, 80]","[176, 224, 32]",83.13843876330611,38.49301409242615
