raw_category,intermediate_category,generic_category,semantic_index,RGB color,room type applicability,include_arch behavior,source file,source line
,,void,0,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,armchair,1,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,bookshelf,2,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,cabinet,3,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,ceiling_lamp,4,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,chair,5,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,children_cabinet,6,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,coffee_table,7,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,desk,8,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,door,9,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,double_bed,10,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,dressing_chair,11,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,dressing_table,12,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,floor,13,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,kids_bed,14,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,nightstand,15,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,pendant_lamp,16,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,shelf,17,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,single_bed,18,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,sofa,19,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,stool,20,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,table,21,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,tv_stand,22,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,wardrobe,23,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,window,24,,bedroom,unknown,preprocess/metadata/bedroom_idx_to_generic_label.json,
,,train,SecondBedroom-316,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,1
,,train,MasterBedroom-28057,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,2
,,train,Bedroom-75221,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,3
,,train,Bedroom-236,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,4
,,train,Bedroom-11842,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,5
,,train,SecondBedroom-118939,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,6
,,train,SecondBedroom-70857,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,7
,,train,MasterBedroom-9638,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,8
,,train,MasterBedroom-9031,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,9
,,train,Bedroom-49696,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,10
,,train,SecondBedroom-21651,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,11
,,train,SecondBedroom-5601,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,12
,,train,Bedroom-33476,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,13
,,train,MasterBedroom-19994,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,14
,,train,SecondBedroom-147166,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,15
