semantic_id,category_name,role,is_object,is_architecture,source_file,source_key,source_line_if_available,room_applicability,native_RGB
0,void,void,False,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,0,2,bedroom;livingroom;diningroom,"[255, 255, 255]"
1,floor,floor,False,True,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,1,3,bedroom;livingroom;diningroom,"[211, 211, 211]"
2,kids_bed,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,2,4,bedroom,"[152, 223, 138]"
3,single_bed,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,3,5,bedroom,"[105, 183, 100]"
4,double_bed,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,4,6,bedroom,"[44, 160, 44]"
5,corner_side_table,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,5,7,livingroom;diningroom,"[197, 176, 213]"
6,round_end_table,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,6,8,livingroom;diningroom,"[187, 166, 212]"
7,coffee_table,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,7,9,bedroom;livingroom;diningroom,"[178, 157, 212]"
8,console_table,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,8,10,livingroom;diningroom,"[169, 148, 211]"
9,tv_stand,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,9,11,bedroom;livingroom;diningroom,"[160, 139, 211]"
10,desk,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,10,12,bedroom;livingroom;diningroom,"[150, 129, 211]"
11,dressing_table,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,11,13,bedroom,"[141, 120, 210]"
12,table,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,12,14,bedroom,"[132, 111, 210]"
13,dining_table,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,13,15,livingroom;diningroom,"[123, 102, 210]"
14,stool,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,14,16,bedroom;livingroom;diningroom,"[23, 190, 207]"
15,dressing_chair,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,15,17,bedroom,"[162, 200, 236]"
16,dining_chair,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,16,18,livingroom;diningroom,"[151, 193, 231]"
17,chinese_chair,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,17,19,livingroom;diningroom,"[140, 186, 226]"
18,armchair,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,18,20,bedroom;livingroom;diningroom,"[74, 146, 198]"
19,chair,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,19,21,bedroom,"[52, 132, 189]"
20,lounge_chair,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,20,22,livingroom;diningroom,"[31, 119, 180]"
21,loveseat_sofa,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,21,23,livingroom;diningroom,"[243, 171, 207]"
22,lazy_sofa,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,22,24,livingroom;diningroom,"[241, 166, 205]"
23,sofa,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,23,25,bedroom,"[240, 161, 204]"
24,multi_seat_sofa,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,24,26,livingroom;diningroom,"[241, 166, 205]"
25,chaise_longue_sofa,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,25,27,livingroom;diningroom,"[233, 140, 199]"
26,l_shaped_sofa,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,26,28,livingroom;diningroom,"[227, 119, 194]"
27,nightstand,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,27,29,bedroom,"[255, 217, 74]"
28,shelf,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,28,30,bedroom;livingroom;diningroom,"[215, 216, 130]"
29,bookshelf,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,29,31,bedroom;livingroom;diningroom,"[212, 213, 119]"
30,children_cabinet,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,30,32,bedroom,"[206, 207, 98]"
31,wine_cabinet,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,31,33,livingroom;diningroom,"[200, 201, 76]"
32,cabinet,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,32,34,bedroom;livingroom;diningroom,"[194, 195, 55]"
33,wardrobe,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,33,35,bedroom;livingroom;diningroom,"[188, 189, 34]"
34,pendant_lamp,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,34,36,bedroom;livingroom;diningroom,"[255, 187, 120]"
35,ceiling_lamp,object,True,False,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,35,37,bedroom;livingroom;diningroom,"[255, 127, 14]"
36,door,architecture,False,True,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,36,38,bedroom;livingroom;diningroom,"[153, 0, 0]"
37,window,architecture,False,True,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,37,39,bedroom;livingroom;diningroom,"[255, 153, 153]"
