scene_id,room_type,uid,jid,raw_category
00004f89-9aa5-43c2-ae3c-129586be8aaa,Library,8188/model,bd41f8fe-98d5-4187-ad59-9e6783fab8fd,window/window
00004f89-9aa5-43c2-ae3c-129586be8aaa,MasterBedroom,8188/model,bd41f8fe-98d5-4187-ad59-9e6783fab8fd,window/window
00004f89-9aa5-43c2-ae3c-129586be8aaa,Kitchen,8188/model,bd41f8fe-98d5-4187-ad59-9e6783fab8fd,window/window
00004f89-9aa5-43c2-ae3c-129586be8aaa,Kitchen,8638/model,dc0df5cc-e51b-440d-a687-930cedf26440,window/window
00004f89-9aa5-43c2-ae3c-129586be8aaa,SecondBedroom,8188/model,bd41f8fe-98d5-4187-ad59-9e6783fab8fd,window/window
00004f89-9aa5-43c2-ae3c-129586be8aaa,Balcony,8548/model,83107d57-1e01-43e6-abf7-686a9b01435e,window/floor-based window
00004f89-9aa5-43c2-ae3c-129586be8aaa,Balcony,8638/model,dc0df5cc-e51b-440d-a687-930cedf26440,window/window
00004f89-9aa5-43c2-ae3c-129586be8aaa,Bathroom,8638/model,dc0df5cc-e51b-440d-a687-930cedf26440,window/window
00004f89-9aa5-43c2-ae3c-129586be8aaa,Bathroom,11533/model,826db185-ee70-4da7-a01e-f25c3d8bc4b2,door/single swing door
00004f89-9aa5-43c2-ae3c-129586be8aaa,LivingDiningRoom,11264/model,1d1967c9-eb1e-4f0a-b123-ba12c0e299aa,door/double sliding door
00004f89-9aa5-43c2-ae3c-129586be8aaa,LivingDiningRoom,11355/model,0f18ec38-b28a-40e8-b751-ffc3f6df4c28,door/double sliding door
00004f89-9aa5-43c2-ae3c-129586be8aaa,LivingDiningRoom,11533/model,826db185-ee70-4da7-a01e-f25c3d8bc4b2,door/single swing door
00004f89-9aa5-43c2-ae3c-129586be8aaa,LivingDiningRoom,11533/model,826db185-ee70-4da7-a01e-f25c3d8bc4b2,door/single swing door
00004f89-9aa5-43c2-ae3c-129586be8aaa,LivingDiningRoom,11533/model,826db185-ee70-4da7-a01e-f25c3d8bc4b2,door/single swing door
00004f89-9aa5-43c2-ae3c-129586be8aaa,LivingDiningRoom,11533/model,826db185-ee70-4da7-a01e-f25c3d8bc4b2,door/single swing door
00004f89-9aa5-43c2-ae3c-129586be8aaa,LivingDiningRoom,12262/model,01360f1e-6eb7-4e9d-a5b7-70ff0c359f92,door/entry/double swing door - asymmetrical
0003d406-5f27-4bbf-94cd-1cff7c310ba1,MasterBathroom,36030/model,ffe4d41e-c8f8-40ca-8088-4bc4ca54250d,window/window
0003d406-5f27-4bbf-94cd-1cff7c310ba1,MasterBathroom,37482/model,f91b1ec2-a6de-4c24-b6c0-cc9af30b2751,door/single swing door
0003d406-5f27-4bbf-94cd-1cff7c310ba1,Bedroom,37478/model,123eb963-7cdd-4c44-b358-1087baf3fb36,door/single swing door
0003d406-5f27-4bbf-94cd-1cff7c310ba1,Bedroom,2021159370671642570720/model,52caa107-bffa-4502-9040-62ccbbfcd52e,Others
0003d406-5f27-4bbf-94cd-1cff7c310ba1,Bedroom,2021159370671642570720/model,52caa107-bffa-4502-9040-62ccbbfcd52e,Others
0003d406-5f27-4bbf-94cd-1cff7c310ba1,Bedroom,2021159370671642862880/model,15efeb17-55c4-4ebc-a4ba-fd66bc331db3,Others
0003d406-5f27-4bbf-94cd-1cff7c310ba1,Bedroom,2021159370671642989504/model,6a7db863-024b-458a-b050-f563b2347025,Others
0003d406-5f27-4bbf-94cd-1cff7c310ba1,DiningRoom,37482/model,f91b1ec2-a6de-4c24-b6c0-cc9af30b2751,door/single swing door
0003d406-5f27-4bbf-94cd-1cff7c310ba1,DiningRoom,37493/model,545cb7e2-1c39-4657-9a3c-9b9552cf66c9,door/single swing door
0003d406-5f27-4bbf-94cd-1cff7c310ba1,DiningRoom,38850/model,53968140-f006-4757-84d6-71907907cd55,art/art - wall-attached
0003d406-5f27-4bbf-94cd-1cff7c310ba1,DiningRoom,38851/model,79143b53-61a9-49ab-bca9-5432402a6308,art/art - wall-attached
0003d406-5f27-4bbf-94cd-1cff7c310ba1,DiningRoom,38852/model,94b071bc-6576-4ccd-81a2-4c4f7750548a,art/art - wall-attached
